t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.9998,cmd,4,45.6269,,,79.37,2.98,
1.0004,state,3,31.9597,-0.839,-0.1319,,,31.0
1.0005,state,4,45.6489,1.399,-0.0879,,,30.0
1.0098,cmd,3,31.9597,,,79.37,2.98,
1.0098,cmd,4,45.6269,,,79.37,2.98,
1.0104,state,3,31.9597,3.078,-0.1026,,,31.0
1.0106,state,4,45.6489,-0.280,-0.1465,,,30.0
1.0198,cmd,3,31.9597,,,79.37,2.98,
1.0198,cmd,4,45.6269,,,79.37,2.98,
1.0204,state,3,31.9597,-1.959,-0.1026,,,31.0
1.0205,state,4,45.6489,-0.839,-0.0879,,,30.0
1.0298,cmd,3,31.9597,,,79.37,2.98,
1.0298,cmd,4,45.6269,,,79.37,2.98,
1.0304,state,3,31.9597,-0.280,-0.0733,,,31.0
1.0305,state,4,45.6489,-3.078,-0.1465,,,30.0
1.0398,cmd,3,31.9597,,,79.37,2.98,
1.0398,cmd,4,45.6269,,,79.37,2.98,
1.0404,state,3,31.9597,-4.197,-0.1319,,,31.0
1.0405,state,4,45.6489,-0.839,-0.0879,,,30.0
1.0498,cmd,3,31.9597,,,79.37,2.98,
1.0498,cmd,4,45.6269,,,79.37,2.98,
1.0504,state,3,31.9597,7.555,-0.1026,,,31.0
1.0505,state,4,45.6489,-0.280,-0.0879,,,30.0
1.0598,cmd,3,31.9597,,,79.37,2.98,
1.0598,cmd,4,45.6269,,,79.37,2.98,
1.0604,state,3,31.9597,3.078,-0.0733,,,31.0
1.0605,state,4,45.6489,0.839,-0.1465,,,30.0
1.0698,cmd,3,31.9597,,,79.37,2.98,
1.0698,cmd,4,45.6269,,,79.37,2.98,
1.0704,state,3,31.9597,5.876,-0.0733,,,31.0
1.0705,state,4,45.6489,1.399,-0.1465,,,30.0
1.0798,cmd,3,31.9597,,,79.37,2.98,
1.0798,cmd,4,45.6269,,,79.37,2.98,
1.0804,state,3,31.9597,-0.280,-0.0440,,,31.0
1.0805,state,4,45.6489,-2.518,-0.0879,,,30.0
1.0898,cmd,3,31.9597,,,79.37,2.98,
1.0898,cmd,4,45.6269,,,79.37,2.98,
1.0904,state,3,31.9597,6.996,-0.0440,,,31.0
1.0905,state,4,45.6489,3.638,-0.1465,,,30.0
1.0998,cmd,3,31.9597,,,79.37,2.98,
1.0998,cmd,4,45.6269,,,79.37,2.98,
1.1004,state,3,31.9597,1.399,-0.0733,,,31.0
1.1005,state,4,45.6489,-2.518,-0.1465,,,30.0
1.1098,cmd,3,31.9597,,,79.37,2.98,
1.1098,cmd,4,45.6269,,,79.37,2.98,
1.1105,state,3,31.9597,2.518,-0.0440,,,31.0
1.1106,state,4,45.6489,-0.839,-0.0879,,,30.0
1.1198,cmd,3,31.9597,,,79.37,2.98,
1.1198,cmd,4,45.6269,,,79.37,2.98,
1.1204,state,3,31.9597,0.280,-0.0733,,,31.0
1.1205,state,4,45.6489,1.959,-0.1465,,,30.0
1.1298,cmd,3,31.9597,,,79.37,2.98,
1.1298,cmd,4,45.6269,,,79.37,2.98,
1.1304,state,3,31.9597,0.280,-0.0440,,,31.0
1.1305,state,4,45.6489,1.399,-0.1465,,,30.0
1.1398,cmd,3,31.9597,,,79.37,2.98,
